Name,Organization,Working group,Task force
Ricardo Hartley Belmar,,WG7,Benefits framework and stakeholder map (task force lead)
Núria Benítez Monforte,Institució CERCA,WG7,Benefits framework and stakeholder map
Francis P. Crawley,CoARA-ERIP,WG7,
Chiara Di Giambattista,OpenCitations,WG7,Benefits framework and stakeholder map
Lavinia Gambelli,University of Bristol,WG7,Case studies
Christian Hauschke,TIB – Leibniz Information Centre for Science and Technology,WG7,Case studies (task force lead)
Marc Lange,Helmholtz Open Science Office,WG7,Case studies
Ana Ranitovic,University of Groningen,WG7,
Toby Steiner,Thoth Open Metadata,WG7,Benefits framework and stakeholder map
Lena Stoll,Crossref,WG7,Case studies
